Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
relative_abatement,MEX,0,0.287317,0.542071,0.588987,0.629407,0.667309,0.703524,0.737756,0.771534,0.806188,0.838027,0.866527,0.893019,0.918898,0.942791,0.963405,0.98184,0.999295,1.01344,1.01941,1.01568,1.00112,0.972968,0.930643,0.87245,0.777533,0.599354
relative_abatement,RCAM,0,0.334003,0.485301,0.527284,0.563469,0.597401,0.629821,0.660467,0.690707,0.72173,0.750234,0.775748,0.799464,0.822632,0.844022,0.862476,0.87898,0.894606,0.907266,0.912611,0.909275,0.896239,0.871032,0.833139,0.781038,0.696057,0.536523
relative_abatement,BRA,0,0.276768,0.551394,0.803536,0.999999,1.12379,1.18478,1.24242,1.29931,1.35767,1.41129,1.45928,1.5039,1.54748,1.58772,1.62243,1.65347,1.68287,1.70668,1.71674,1.71046,1.68594,2.75627e-05,1.7444e-05,1.72577e-05,2.23463e-05,4.36926e-05
relative_abatement,RSAM,0,0.323129,0.566813,0.778586,0.976575,1.03538,1.09157,1.14469,1.1971,1.25087,1.30027,1.34449,1.38559,1.42574,1.46282,1.4948,1.5234,1.55048,1.57243,1.58169,1.57591,1.55331,1.50962,1.44395,1.35365,1.20636,0.929856
relative_abatement,NAF,0,0.276429,0.304756,0.33112,0.353844,0.375152,0.395511,0.414756,0.433746,0.453228,0.471127,0.487149,0.502042,0.516591,0.530024,0.541612,0.551976,0.561789,0.569739,0.573096,0.571002,0.562815,0.546986,0.52319,0.490472,0.437107,0.336926
relative_abatement,WAF,0,0.426316,0.645994,0.701879,0.750046,0.795213,0.838369,0.879162,0.919414,0.960711,0.998652,1.03261,1.06418,1.09502,1.1235,1.14806,1.17003,1.19083,1.20768,1.2148,1.21035,1.193,1.15945,1.109,1.03965,0.926525,0.714159
relative_abatement,EAF,0,0.461569,0.531062,0.577004,0.616601,0.653732,0.68921,0.722746,0.755837,0.789787,0.820978,0.848897,0.87485,0.900203,0.923609,0.943803,0.961863,0.978963,0.992817,0.998666,0.995016,0.98075,0.953167,0.9117,0.854687,0.761693,0.587118
relative_abatement,SAF,0,0.307502,0.54374,0.637237,0.680968,0.721975,0.761157,0.798193,0.834738,0.872231,0.906678,0.937513,0.966175,0.994175,1.02003,1.04233,1.06227,1.08116,1.09646,1.10293,1.0989,1.08316,1.05272,1.00697,0.944126,0.841774,0.650254
relative_abatement,WEU,0,0.223126,0.375946,0.408469,0.436501,0.462786,0.487901,0.511641,0.535067,0.5591,0.581181,0.600946,0.619318,0.637265,0.653835,0.668131,0.680916,0.693021,0.702828,0.706969,0.704385,0.694286,0.674758,0.645403,0.605041,0.539207,0.415619
relative_abatement,CEU,0,0.227309,0.452624,0.491782,0.525531,0.557178,0.587416,0.615998,0.644201,0.673136,0.699721,0.723517,0.745637,0.767245,0.787195,0.804406,0.819799,0.834373,0.846181,0.851167,0.848056,0.835898,0.812389,0.777048,0.728457,0.649201,0.500419
