Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
regional_emission_reduction,RCAM,GtCO2/yr,1.00737e-09,0.000185585,0.000198155,0.000209562,0.000225482,0.000252244,0.000290635,0.000338737,0.000389288,0.000434999,0.000473841,0.000505807,0.000533613,0.000559871,0.000584052,0.000605466,0.000625921
regional_emission_reduction,BRA,GtCO2/yr,1.01452e-09,0.000934189,0.000988591,0.00111213,0.00124305,0.00130611,0.00127355,0.00114553,0.000986272,0.000870113,0.000847629,0.000929826,0.000993795,0.000932921,0.000838985,0.000818206,0.000837005
regional_emission_reduction,RSAM,GtCO2/yr,7.3328e-10,0.000896795,0.000953992,0.000958947,0.00100198,0.00114907,0.00126737,0.00123184,0.00114693,0.00113846,0.00118935,0.00125057,0.0012876,0.00128203,0.00126514,0.00126997,0.00128698
regional_emission_reduction,NAF,GtCO2/yr,1.2042e-09,0.000384018,0.000423221,0.00045069,0.000467025,0.000476574,0.000496124,0.000539561,0.000597115,0.000654449,0.000702408,0.000736606,0.000765958,0.000800084,0.000838792,0.000879848,0.00092247
regional_emission_reduction,WAF,GtCO2/yr,4.77002e-09,0.00161469,0.00191872,0.00176136,0.00151691,0.0015492,0.00158832,0.00135053,0.00114119,0.00129812,0.00170364,0.00216444,0.00263523,0.00311067,0.00359561,0.00409475,0.00460397
regional_emission_reduction,EAF,GtCO2/yr,1.80594e-09,0.000271032,0.00035104,0.00036625,0.000348378,0.000338516,0.000343194,0.000361866,0.00040072,0.000468058,0.000574327,0.000727735,0.000925772,0.001157,0.00138458,0.00157788,0.00175537
regional_emission_reduction,SAF,GtCO2/yr,2.67438e-09,0.00032143,0.000335865,0.00034019,0.000349223,0.000374751,0.000406487,0.000431264,0.000446372,0.000452419,0.000452817,0.000451279,0.000449868,0.000449844,0.000450988,0.000452791,0.000454981
regional_emission_reduction,WEU,GtCO2/yr,7.60676e-11,0.0017197,0.00165214,0.00162054,0.00164742,0.00174645,0.00188758,0.00203114,0.00214314,0.00220491,0.00225433,0.00232519,0.00237686,0.00237275,0.00236746,0.00241764,0.0024969
regional_emission_reduction,CEU,GtCO2/yr,5.89691e-10,0.000439718,0.000430064,0.000440512,0.000459809,0.000473884,0.000485155,0.000497841,0.000507291,0.000508301,0.000502444,0.00049197,0.000474529,0.000449437,0.000427527,0.000418415,0.000415389
regional_emission_reduction,TUR,GtCO2/yr,9.3267e-10,0.000285808,0.000308417,0.00031575,0.00031774,0.000325447,0.000341053,0.000363231,0.000385441,0.000401601,0.000412662,0.000421325,0.000430186,0.000440248,0.00044637,0.00044413,0.00043802
regional_emission_reduction,UKR,GtCO2/yr,2.63945e-09,0.000233589,0.000242599,0.00026918,0.000294663,0.000301255,0.000302146,0.000311928,0.000320812,0.000317337,0.000307666,0.00030037,0.000295436,0.000291316,0.000289262,0.000290508,0.000293324
regional_emission_reduction,STAN,GtCO2/yr,2.86369e-09,0.000306786,0.000325104,0.000329888,0.000321344,0.000304268,0.000296392,0.000309924,0.000324086,0.000321025,0.000326802,0.000365006,0.000405226,0.000415129,0.000408366,0.000404965,0.000404646
regional_emission_reduction,RUS,GtCO2/yr,1.01711e-09,0.0011551,0.00120848,0.00122983,0.00122583,0.00120887,0.00119173,0.00118527,0.00119688,0.00122465,0.00123189,0.0011906,0.00114089,0.00112437,0.00112209,0.0011078,0.00108606
regional_emission_reduction,ME,GtCO2/yr,7.05547e-10,0.00122715,0.00129909,0.00140457,0.00151861,0.00161302,0.00170319,0.0018069,0.00190987,0.00199445,0.00206202,0.00212117,0.00218927,0.00227847,0.00237194,0.00245198,0.0025261
regional_emission_reduction,INDIA,GtCO2/yr,2.92151e-10,0.00200663,0.00237705,0.00269281,0.00303425,0.00347618,0.00397533,0.00447364,0.00496972,0.00546093,0.00588442,0.00618877,0.00642402,0.00664378,0.00681892,0.00691911,0.00698919
regional_emission_reduction,KOR,GtCO2/yr,9.55141e-10,0.000483415,0.000500783,0.000499139,0.000486865,0.000473328,0.000459183,0.000443216,0.000425409,0.000405774,0.000383298,0.000357566,0.000331681,0.000309201,0.00029194,0.00028034,0.000271017
