Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
baseline,KOR,0.79076,0.826589,0.845713,0.843821,0.828404,0.807537,0.779823,0.74307,0.701363,0.659142,0.615997,0.570764,0.524106,0.477725,0.435643,0.400659,0.36836,0.334296,0.301077,0.272148,0.24725,0.225457,0.20688,0.191777,0.179967,0.171337,0.16651
baseline,CHN,11.4778,12.2792,12.8321,13.1914,13.4742,13.7489,13.826,13.541,13.0862,12.68,12.2887,11.8333,11.3053,10.7381,10.2614,9.97687,9.77769,9.54165,9.294,9.08366,8.90704,8.75101,8.61683,8.50809,8.42335,8.36136,8.32661
baseline,SEAS,1.58683,1.91911,2.26597,2.56398,2.71498,2.67114,2.62067,2.74414,2.95545,3.13186,3.27076,3.40415,3.5826,3.83665,4.09851,4.30064,4.475,4.6639,4.85149,5.01382,5.15268,5.2745,5.37858,5.46312,5.52917,5.57745,5.60447
baseline,INDO,1.82224,1.94378,1.98747,1.96667,1.92877,1.91775,1.92988,1.95047,1.96882,1.98053,2.00238,2.04997,2.11269,2.17465,2.22485,2.2575,2.28276,2.31139,2.34066,2.36574,2.38699,2.40569,2.42173,2.43474,2.44489,2.45232,2.45647
baseline,JAP,1.09423,1.07147,1.05761,1.05385,1.05494,1.05418,1.04563,1.02478,0.99217,0.950103,0.902941,0.854662,0.805678,0.756359,0.710479,0.670929,0.633678,0.594693,0.556877,0.523883,0.495436,0.470553,0.449355,0.432118,0.418635,0.408785,0.403275
baseline,OCE,0.436443,0.461397,0.479541,0.515541,0.560536,0.595126,0.591277,0.537063,0.49362,0.510785,0.520121,0.45737,0.393243,0.40053,0.425333,0.403441,0.356051,0.317189,0.286768,0.257994,0.231343,0.20863,0.189773,0.174295,0.16206,0.153155,0.148204
baseline,RSAS,0.475681,0.625622,0.768112,0.890666,1.02008,1.1861,1.39112,1.62586,1.86194,2.07862,2.30492,2.57154,2.86619,3.17595,3.52838,3.94763,4.40373,4.85652,5.27908,5.65287,5.97937,6.26358,6.50458,6.70088,6.85472,6.96703,7.02979
baseline,RSAF,1.0199,1.0235,1.01821,1.13824,1.36153,1.59115,1.5869,1.20638,0.841644,0.873196,1.1007,1.25171,1.34609,1.46683,1.6572,1.93493,2.25543,2.56722,2.85366,3.10848,3.33224,3.52664,3.69118,3.82528,3.93047,4.00724,4.05011
relative_abatement,CAN,0,0.26521,0.533127,0.77946,0.980174,1.07701,1.17089,1.25373,1.32954,1.40694,1.48791,1.57225,1.60239,1.63107,1.65862,1.68537,1.71149,1.73297,1.75365,1.77355,1.79268,1.81106,1.82871,1.84564,1.86189,1.87747,1.8924
relative_abatement,USA,0,0.208467,0.443054,0.715749,1,1.19453,1.26192,1.32623,1.38763,1.44592,1.50228,1.55858,1.61428,1.66802,1.69215,1.71471,1.74121,1.66219,1.67592,1.68904,1.70153,1.71344,1.72464,1.73498,1.74473,1.7536,1.76168
relative_abatement,MEX,0,0.278362,0.519047,0.591851,0.654316,0.712672,0.769625,0.826375,0.883517,0.941818,1.00155,1.0627,1.12494,1.18817,1.25222,1.31708,1.38372,1.17303,1.18116,1.18727,1.19194,1.19567,1.19863,1.20099,1.20281,1.20402,1.20478
relative_abatement,RCAM,0,0.292375,0.360637,0.422149,0.478078,0.533509,0.589875,0.647695,0.707736,0.770854,0.838291,0.933791,1.01343,1.0798,1.13464,1.17958,1.21661,1.12756,1.15111,1.16992,1.18516,1.19779,1.20823,1.21684,1.22391,1.22952,1.2337
relative_abatement,BRA,0,0.341355,0.570478,0.765146,0.90926,0.968071,1.02104,1.07738,1.13806,1.20085,1.26357,1.32331,1.37919,1.43254,1.48588,1.54202,1.60197,1.33676,1.32952,1.32241,1.31572,1.3095,1.30381,1.29877,1.29428,1.29012,1.28666
relative_abatement,RSAM,0,0.347328,0.598207,0.8028,0.942815,1.03265,1.11994,1.20795,1.29748,1.38839,1.48039,1.58106,1.67456,1.76805,1.86144,1.95138,2,1.82663,1.85679,1.88171,1.90262,1.92057,1.93595,1.94916,1.96056,1.97019,1.97825
relative_abatement,NAF,0,0.150931,0.188446,0.222698,0.253152,0.282023,0.310843,0.340814,0.372728,0.407144,0.443702,0.481865,0.521371,0.562316,0.605421,0.651342,0.699576,0.593264,0.604778,0.613884,0.621076,0.626822,0.631322,0.634675,0.637,0.638425,0.638819
relative_abatement,WAF,0,0.135539,0.171325,0.205497,0.238314,0.272252,0.308953,0.349742,0.395255,0.445882,0.502112,0.564397,0.632337,0.705708,0.78515,0.87075,0.959668,0.82319,0.850519,0.871822,0.888484,0.901659,0.911917,0.9196,0.925069,0.928611,0.929981
relative_abatement,EAF,0,0.0880946,0.109916,0.131044,0.152029,0.174684,0.199556,0.227025,0.257692,0.292126,0.330573,0.373138,0.419592,0.470023,0.52544,0.586353,0.650447,0.556534,0.576293,0.591735,0.603819,0.613344,0.620715,0.626179,0.62999,0.632348,0.63306
relative_abatement,SAF,0,0.24236,0.479992,0.575621,0.639538,0.69791,0.753879,0.809661,0.866059,0.923403,0.981516,1.04013,1.0989,1.15787,1.21755,1.2785,1.34126,1.16932,1.18319,1.19462,1.20413,1.21227,1.21924,1.22513,1.23008,1.2343,1.23778
